y_sym,X_sym,period,start_date,end_date,beta,r2
COST,BTC,night,20251001,20251022,0.6134142432069334,0.0270826748881282
NFLX,BTC,morning,20251001,20251022,-0.0416813672655396,0.0005472765365583
NFLX,BTC,day,20251001,20251022,0.1656005448646872,0.035886215318386
NFLX,BTC,night,20251001,20251022,0.0960599793334078,0.0051382430599237
CRCL,BTC,morning,20251001,20251022,0.2525335672749085,0.0150904937252479
CRCL,BTC,day,20251001,20251022,0.7672863643723298,0.118783417220465
CRCL,BTC,night,20251001,20251022,0.1446303791133742,0.0106314656033844
MSTR,BTC,morning,20251001,20251022,0.7161160487715265,0.1848406571262172
MSTR,BTC,day,20251001,20251022,0.982114029775724,0.3250472424872597
MSTR,BTC,night,20251001,20251022,0.2103962146718813,0.0233396929154887
SNDK,BTC,morning,20251001,20251022,0.0111037307488812,1.4112395923415733e-05
SNDK,BTC,day,20251001,20251022,0.4153250337059994,0.0331130625940381
SNDK,BTC,night,20251001,20251022,0.1041213529508071,0.0032681977666659
MU,BTC,morning,20251001,20251022,0.1874998231427839,0.0098173863790382
MU,BTC,day,20251001,20251022,0.4971310808406093,0.1057898259564878
MU,BTC,night,20251001,20251022,0.0469725694025283,0.0019214229290709
LLY,NQ,morning,20251201,20260110,0.2512077401461289,0.0012003463152896
LLY,NQ,day,20251201,20260110,0.2579163431061661,0.0122211612737623
LLY,NQ,night,20251201,20260110,-0.3629865095935589,0.004139553927551
LLY,BTC,morning,20251201,20260110,-0.0739415567415656,0.0008428049310551
LLY,BTC,day,20251201,20260110,0.0435061235236123,0.0021919272231106
LLY,BTC,night,20251201,20260110,0.0795810515295304,0.0031669061454093
BABA,NQ,morning,20251201,20260110,0.3382179681340363,0.0081042778153752
BABA,NQ,day,20251201,20260110,0.7348605334827502,0.1611952188099176
BABA,NQ,night,20251201,20260110,-0.0030474379115265,1.201279844376124e-06
BABA,BTC,morning,20251201,20260110,0.0671236485596721,0.0027112531242121
BABA,BTC,day,20251201,20260110,0.1801804535111638,0.0602573839639446
BABA,BTC,night,20251201,20260110,-0.0286552282878526,0.0008456917207954
