variant,max_pos,max_back_levels,rung_spacing_mult,place_thresh,pred_momentum_coef,curv_impulse_coef,premium_ema_coef,premium_tdc_s,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
141,10,10,4,0.0001,0.5,0,0.2,30,1,1780.82,1816.48,35.66,0.88,430,2902.16
142,16,10,4,0.0001,0.5,0,0.2,30,1,1791.74,1827.38,35.64,0.86,434,3195.85
143,24,10,4,0.0001,0.5,0,0.2,30,1,1870.89,1906.72,35.84,0.81,435,3198.87
144,8,3,1,5e-05,0,0.5,0.2,30,1,2433.90,2500.62,66.73,0.84,829,3902.26
145,10,3,1,5e-05,0,0.5,0.2,30,1,2501.80,2568.68,66.88,0.77,831,3236.67
146,16,3,1,5e-05,0,0.5,0.2,30,1,2451.65,2518.49,66.84,0.74,834,3089.59
147,24,3,1,5e-05,0,0.5,0.2,30,1,2469.16,2536.39,67.23,0.76,835,3281.87
148,8,6,1,5e-05,0,0.5,0.2,30,1,2644.58,2720.47,75.88,0.86,948,4370.33
149,10,6,1,5e-05,0,0.5,0.2,30,1,2526.80,2602.70,75.91,0.78,947,3314.90
150,16,6,1,5e-05,0,0.5,0.2,30,1,2537.24,2613.73,76.49,0.81,957,3989.21
151,24,6,1,5e-05,0,0.5,0.2,30,1,2546.38,2622.39,76.02,0.82,954,4158.01
152,8,10,1,5e-05,0,0.5,0.2,30,1,2545.62,2622.17,76.55,0.91,954,4290.75
153,10,10,1,5e-05,0,0.5,0.2,30,1,2637.61,2714.30,76.70,0.84,960,4445.06
154,16,10,1,5e-05,0,0.5,0.2,30,1,2608.72,2685.50,76.78,0.83,958,4296.39
155,24,10,1,5e-05,0,0.5,0.2,30,1,2615.20,2692.47,77.27,0.83,965,4355.95
156,8,3,2,5e-05,0,0.5,0.2,30,1,2472.75,2538.31,65.56,0.82,815,3386.51
157,10,3,2,5e-05,0,0.5,0.2,30,1,2363.72,2429.40,65.68,0.78,819,3197.91
158,16,3,2,5e-05,0,0.5,0.2,30,1,2362.64,2428.71,66.07,0.73,823,2664.01
159,24,3,2,5e-05,0,0.5,0.2,30,1,2394.49,2460.69,66.20,0.76,822,2576.22
160,8,6,2,5e-05,0,0.5,0.2,30,1,2537.53,2607.79,70.26,0.88,879,3759.14
161,10,6,2,5e-05,0,0.5,0.2,30,1,2608.44,2679.28,70.83,0.83,885,3846.01
162,16,6,2,5e-05,0,0.5,0.2,30,1,2549.66,2620.90,71.24,0.80,889,4123.31
163,24,6,2,5e-05,0,0.5,0.2,30,1,2672.49,2743.77,71.28,0.80,890,4593.21
