variant,place_thresh,cancel_buffer,pred_momentum_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
156,0.00025,0.1,0.2,1,1212.00,1218.68,6.68,1.77,344,2369.88
157,0.0003,0.1,0.2,1,1064.34,1069.87,5.53,1.60,276,1915.80
158,0.0004,0.1,0.2,1,895.64,899.38,3.74,1.40,182,1505.87
159,0.0005,0.1,0.2,1,847.11,849.97,2.86,1.20,129,1870.08
160,0.00025,0.2,0.2,1,1243.73,1250.61,6.87,1.79,359,2656.91
161,0.0003,0.2,0.2,1,1093.06,1098.58,5.52,1.60,279,2327.66
162,0.0004,0.2,0.2,1,1003.43,1007.43,4.00,1.13,194,1787.11
163,0.0005,0.2,0.2,1,880.03,882.91,2.89,1.18,133,1631.44
164,0.00025,0.3,0.2,1,1234.92,1242.01,7.08,1.73,365,2425.85
165,0.0003,0.3,0.2,1,1080.06,1085.85,5.79,1.56,286,2113.77
166,0.0004,0.3,0.2,1,1085.83,1089.58,3.75,1.12,185,1971.16
167,0.0005,0.3,0.2,1,855.37,858.31,2.94,1.29,134,1440.78
168,0.00025,0.1,0.5,1,1158.30,1164.65,6.35,1.72,322,2366.79
169,0.0003,0.1,0.5,1,1098.21,1103.20,4.99,1.68,251,2369.16
170,0.0004,0.1,0.5,1,888.87,892.57,3.69,1.28,174,1479.22
171,0.0005,0.1,0.5,1,881.01,883.69,2.68,1.13,123,1553.01
172,0.00025,0.2,0.5,1,1158.93,1165.17,6.24,1.77,325,2251.08
173,0.0003,0.2,0.5,1,1064.94,1070.01,5.07,1.53,254,1937.63
174,0.0004,0.2,0.5,1,1029.70,1033.43,3.73,1.48,174,1957.08
175,0.0005,0.2,0.5,1,913.09,915.83,2.73,1.17,122,1547.33
176,0.00025,0.3,0.5,1,1222.39,1229.03,6.63,1.57,340,2380.57
177,0.0003,0.3,0.5,1,1051.92,1057.16,5.23,1.76,260,2194.01
178,0.0004,0.3,0.5,1,856.49,860.29,3.79,1.56,184,1738.34
179,0.0005,0.3,0.5,1,953.74,956.50,2.76,1.03,124,1623.78
180,0.00025,0.1,1,1,1190.71,1196.69,5.98,1.94,302,2500.94
181,0.0003,0.1,1,1,1085.68,1090.59,4.91,2.00,246,2582.51
182,0.0004,0.1,1,1,896.38,899.93,3.56,1.87,169,1750.90
183,0.0005,0.1,1,1,762.37,765.06,2.70,1.56,121,1657.35
184,0.00025,0.2,1,1,1230.32,1236.36,6.04,1.81,306,2426.62
185,0.0003,0.2,1,1,1076.97,1081.92,4.96,1.72,246,2153.12
186,0.0004,0.2,1,1,852.93,856.40,3.48,1.53,176,1716.51
187,0.0005,0.2,1,1,910.93,913.66,2.73,1.06,120,1300.29
188,0.00025,0.3,1,1,1153.77,1159.85,6.08,1.68,318,2361.75
189,0.0003,0.3,1,1,1097.03,1101.96,4.93,1.62,250,2160.67
190,0.0004,0.3,1,1,1030.50,1034.25,3.75,1.10,185,1997.70
191,0.0005,0.3,1,1,930.04,932.81,2.77,1.27,120,1797.00
