variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
30       0.00025       400      4                0.0045        0.2                      0.1            0                 0                   0                  0.35                  3150.06  3178.65         28.59     3.41    826       8474.42
37       0.0003        400      4                0.0015        0.4                      0.1            0                 0                   0                  0.35                  3483.34  3544.33         60.99     1.44    1053      8474.72
81       0.0003        400      7                0.003         0.2                      0.1            0.2               0                   0                  0.35                  3192.89  3218.98         26.09     2.68    702       8486.55
114      0.00025       400      4                0.003         0.1                      0.1            0.5               0                   0                  0.35                  2826.94  2856.48         29.54     2.84    823       8513.85
78       0.00025       400      4                0.003         0.2                      0.1            0.2               0                   0                  0.35                  2839.66  2869.75         30.10     2.97    831       8514.43
352      0.00025       400      10               0.003         0.2                      0.1            0.5               0                   0                  0.5                   3241.99  3271.23         29.25     2.09    806       8524.35
387      0.0003        400      7                0.003         0.1                      0.1            0.8               0                   0                  0.5                   3197.09  3222.04         24.96     1.91    677       8528.93
7        0.0003        400      4                0.003         0.1                      0.1            0                 0                   0                  0.35                  2814.36  2839.94         25.59     2.87    705       8555.74
231      0.0003        400      7                0.0045        0.1                      0.1            0                 0                   0                  0.5                   3312.38  3336.09         23.70     2.34    673       8558.99
44       0.00025       400      7                0.003         0.4                      0.1            0                 0                   0                  0.35                  3085.28  3116.55         31.28     2.86    829       8573.43
157      0.0003        400      4                0.0045        0.4                      0.1            0.5               0                   0                  0.35                  2947.48  2971.89         24.41     4.06    693       8587.65
98       0.00025       400      7                0.003         0.4                      0.1            0.2               0                   0                  0.35                  3153.52  3184.85         31.33     2.68    835       8598.34
228      0.00025       400      4                0.0045        0.1                      0.1            0                 0                   0                  0.5                   3026.93  3054.01         27.08     3.30    788       8608.90
31       0.0003        400      4                0.0045        0.2                      0.1            0                 0                   0                  0.35                  2994.69  3019.11         24.41     4.01    701       8612.59
139      0.0003        400      4                0.0045        0.2                      0.1            0.5               0                   0                  0.35                  2937.81  2962.16         24.35     3.84    698       8633.01
431      0.0003        400      10               0.0045        0.4                      0.1            0.8               0                   0                  0.5                   3337.85  3361.30         23.45     2.49    669       8644.50
429      0.0003        400      7                0.0045        0.4                      0.1            0.8               0                   0                  0.5                   3308.66  3332.19         23.53     2.61    667       8661.81
384      0.00025       400      4                0.003         0.1                      0.1            0.8               0                   0                  0.5                   2898.21  2927.15         28.95     2.46    800       8687.02
47       0.0003        400      10               0.003         0.4                      0.1            0                 0                   0                  0.35                  3058.28  3085.06         26.78     2.37    703       8687.96
26       0.00025       400      7                0.003         0.2                      0.1            0                 0                   0                  0.35                  3242.47  3272.90         30.43     3.20    830       8704.30
19       0.0003        400      4                0.0015        0.2                      0.1            0                 0                   0                  0.35                  3524.74  3576.81         52.07     2.08    983       8724.22
253      0.0003        400      4                0.0015        0.4                      0.1            0                 0                   0                  0.5                   3562.08  3621.81         59.73     1.46    1010      8763.93
188      0.00025       400      7                0.003         0.2                      0.1            0.8               0                   0                  0.35                  3247.01  3277.52         30.52     3.04    832       8777.76
199      0.0003        400      4                0.0015        0.4                      0.1            0.8               0                   0                  0.35                  3485.15  3545.61         60.46     1.49    1045      8790.66
11       0.0003        400      10               0.003         0.1                      0.1            0                 0                   0                  0.35                  3078.61  3104.72         26.11     3.11    704       8797.41
278      0.00025       400      7                0.003         0.1                      0.1            0.2               0                   0                  0.5                   3288.42  3317.17         28.74     2.39    795       8809.90
83       0.0003        400      10               0.003         0.2                      0.1            0.2               0                   0                  0.35                  3177.14  3203.85         26.71     2.55    713       8814.99
282      0.00025       400      4                0.0045        0.1                      0.1            0.2               0                   0                  0.5                   3021.95  3049.07         27.12     2.85    794       8819.46
156      0.00025       400      4                0.0045        0.4                      0.1            0.5               0                   0                  0.35                  3106.17  3134.50         28.33     3.84    828       8819.54
343      0.0003        400      4                0.0015        0.2                      0.1            0.5               0                   0                  0.5                   3430.50  3481.47         50.97     1.83    948       8828.08
154      0.00025       400      10               0.003         0.4                      0.1            0.5               0                   0                  0.35                  3355.36  3386.46         31.10     3.07    835       8844.04
363      0.0003        400      7                0.0015        0.4                      0.1            0.5               0                   0                  0.5                   3890.08  3950.09         60.01     1.48    1011      8845.33
300      0.00025       400      4                0.0045        0.2                      0.1            0.2               0                   0                  0.5                   3001.06  3028.57         27.51     3.52    796       8848.86
325      0.0003        400      4                0.0015        0.1                      0.1            0.5               0                   0                  0.5                   3481.09  3526.48         45.39     2.20    895       8861.40
251      0.0003        400      10               0.0045        0.2                      0.1            0                 0                   0                  0.5                   3339.25  3362.57         23.31     2.69    665       8878.71
192      0.00025       400      4                0.0045        0.2                      0.1            0.8               0                   0                  0.35                  3252.90  3281.14         28.24     3.66    822       8882.92
13       0.0003        400      4                0.0045        0.1                      0.1            0                 0                   0                  0.35                  2908.59  2933.01         24.43     3.38    706       8904.72
370      0.00025       400      10               0.003         0.4                      0.1            0.5               0                   0                  0.5                   3335.79  3365.85         30.06     2.14    804       8916.35
121      0.0003        400      4                0.0045        0.1                      0.1            0.5               0                   0                  0.35                  2942.47  2966.50         24.03     3.26    693       8918.14
242      0.00025       400      7                0.003         0.2                      0.1            0                 0                   0                  0.5                   3311.08  3340.35         29.27     2.55    796       8924.50
397      0.0003        400      4                0.0015        0.2                      0.1            0.8               0                   0                  0.5                   3319.23  3370.51         51.28     1.82    945       8929.11
9        0.0003        400      7                0.003         0.1                      0.1            0                 0                   0                  0.35                  3227.94  3254.09         26.15     2.66    710       8938.12
102      0.00025       400      4                0.0045        0.4                      0.1            0.2               0                   0                  0.35                  3195.32  3223.78         28.46     3.45    822       8943.38
404      0.00025       400      7                0.003         0.2                      0.1            0.8               0                   0                  0.5                   3270.21  3299.29         29.08     2.26    794       8956.33
345      0.0003        400      7                0.0015        0.2                      0.1            0.5               0                   0                  0.5                   3731.30  3782.00         50.70     1.58    949       8974.85
63       0.0003        400      7                0.003         0.1                      0.1            0.2               0                   0                  0.35                  3381.45  3407.47         26.03     2.57    710       8997.23
201      0.0003        400      7                0.0015        0.4                      0.1            0.8               0                   0                  0.35                  3774.83  3835.08         60.25     1.44    1042      9002.74
80       0.00025       400      7                0.003         0.2                      0.1            0.2               0                   0                  0.35                  3233.29  3263.50         30.21     2.66    825       9044.73
