variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
13       0.0003        400      4                0.0045        0.1                      0.1            0                 0                  0.25                  1193.03  1202.40         9.37      2.22    491       3778.03
49       0.0003        400      4                0.0045        0.4                      0.1            0                 0                  0.25                  1213.76  1223.45         9.70      2.26    486       3786.74
402      0.00025       400      4                0.003         0.2                      0.1            0.8               0                  0.4                   1388.86  1400.81         11.95     2.53    586       3792.97
268      0.00025       400      10               0.0045        0.4                      0.1            0                 0                  0.4                   1512.09  1523.64         11.55     3.20    582       3816.83
64       0.00025       400      10               0.003         0.1                      0.1            0.2               0                  0.25                  1477.40  1489.91         12.51     2.67    618       3825.24
224      0.00025       400      7                0.003         0.1                      0.1            0                 0                  0.4                   1414.06  1425.84         11.78     2.31    588       3827.33
176      0.00025       400      7                0.0045        0.1                      0.1            0.8               0                  0.25                  1443.72  1455.29         11.57     2.46    602       3827.44
430      0.00025       400      10               0.0045        0.4                      0.1            0.8               0                  0.4                   1452.72  1464.44         11.71     2.61    587       3828.32
68       0.00025       400      7                0.0045        0.1                      0.1            0.2               0                  0.25                  1439.23  1451.01         11.78     2.02    607       3830.86
286      0.00025       400      10               0.0045        0.1                      0.1            0.2               0                  0.4                   1559.28  1570.69         11.41     2.72    579       3845.74
98       0.00025       400      7                0.003         0.4                      0.1            0.2               0                  0.25                  1540.10  1553.07         12.98     2.32    614       3848.49
367      0.0003        400      4                0.003         0.4                      0.1            0.5               0                  0.4                   1406.38  1416.63         10.25     4.24    470       3849.54
139      0.0003        400      4                0.0045        0.2                      0.1            0.5               0                  0.25                  1374.75  1384.39         9.64      3.23    490       3870.51
140      0.00025       400      7                0.0045        0.2                      0.1            0.5               0                  0.25                  1408.76  1420.57         11.81     2.60    608       3887.79
100      0.00025       400      10               0.003         0.4                      0.1            0.2               0                  0.25                  1624.04  1637.40         13.35     2.45    626       3892.31
212      0.00025       400      7                0.0045        0.4                      0.1            0.8               0                  0.25                  1455.23  1467.47         12.24     2.27    613       3899.17
313      0.0003        400      4                0.003         0.4                      0.1            0.2               0                  0.4                   1358.07  1368.30         10.23     3.17    466       3902.84
243      0.0003        400      7                0.003         0.2                      0.1            0                 0                  0.4                   1328.10  1338.00         9.90      2.52    473       3904.74
8        0.00025       400      7                0.003         0.1                      0.1            0                 0                  0.25                  1371.30  1383.49         12.19     2.40    614       3904.93
154      0.00025       400      10               0.003         0.4                      0.1            0.5               0                  0.25                  1473.98  1487.16         13.18     2.74    628       3910.52
232      0.00025       400      10               0.0045        0.1                      0.1            0                 0                  0.4                   1467.88  1479.44         11.56     2.58    588       3911.32
43       0.0003        400      4                0.003         0.4                      0.1            0                 0                  0.25                  1385.97  1396.54         10.57     2.70    493       3915.13
