variant,place_thresh,cancel_buffer,max_pos,max_back_levels,order_decrease_coef,cross_thresh,cross_limit_maxpos_frac,premium_ema_coef,pred_momentum_coef,curv_impulse_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
141,0.000225,0.1,80,8,0.7,0.0045,0.2,0,0,0,0.25,553.02,562.15,9.13,1.37,574,1043.81
142,0.00025,0.1,80,8,0.7,0.0045,0.2,0,0,0,0.25,508.14,516.82,8.68,1.33,546,1001.59
143,0.0003,0.1,80,8,0.7,0.0045,0.2,0,0,0,0.25,508.24,516.12,7.88,1.20,499,902.55
144,0.000175,0.1,80,4,0.2,0.0015,0.4,0,0,0,0.25,853.88,874.14,20.27,2.21,784,2049.47
145,0.000225,0.1,80,4,0.2,0.0015,0.4,0,0,0,0.25,821.06,840.66,19.59,1.86,710,1858.84
146,0.00025,0.1,80,4,0.2,0.0015,0.4,0,0,0,0.25,790.83,809.84,19.01,1.91,707,1919.65
147,0.0003,0.1,80,4,0.2,0.0015,0.4,0,0,0,0.25,784.38,802.39,18.01,1.96,644,1973.19
148,0.000175,0.1,80,8,0.2,0.0015,0.4,0,0,0,0.25,787.44,806.40,18.96,1.70,718,1875.56
149,0.000225,0.1,80,8,0.2,0.0015,0.4,0,0,0,0.25,767.32,786.12,18.80,1.76,683,1873.11
150,0.00025,0.1,80,8,0.2,0.0015,0.4,0,0,0,0.25,751.76,770.64,18.88,1.67,659,1768.38
151,0.0003,0.1,80,8,0.2,0.0015,0.4,0,0,0,0.25,779.88,797.97,18.09,1.89,644,1934.63
152,0.000175,0.1,80,4,0.5,0.0015,0.4,0,0,0,0.25,837.95,858.40,20.45,2.09,788,2063.15
153,0.000225,0.1,80,4,0.5,0.0015,0.4,0,0,0,0.25,813.79,833.62,19.84,1.76,751,1905.17
154,0.00025,0.1,80,4,0.5,0.0015,0.4,0,0,0,0.25,819.29,838.70,19.41,1.74,731,1780.75
155,0.0003,0.1,80,4,0.5,0.0015,0.4,0,0,0,0.25,837.71,857.07,19.36,1.77,705,1989.15
156,0.000175,0.1,80,8,0.5,0.0015,0.4,0,0,0,0.25,838.69,859.30,20.61,2.23,801,2078.42
157,0.000225,0.1,80,8,0.5,0.0015,0.4,0,0,0,0.25,836.18,855.34,19.15,1.96,726,1983.19
158,0.00025,0.1,80,8,0.5,0.0015,0.4,0,0,0,0.25,745.59,764.16,18.57,1.65,686,1780.28
159,0.0003,0.1,80,8,0.5,0.0015,0.4,0,0,0,0.25,810.92,829.00,18.09,1.87,642,1849.28
160,0.000175,0.1,80,4,0.7,0.0015,0.4,0,0,0,0.25,903.13,924.37,21.25,2.46,841,2182.98
161,0.000225,0.1,80,4,0.7,0.0015,0.4,0,0,0,0.25,763.13,782.65,19.51,1.47,720,1880.25
162,0.00025,0.1,80,4,0.7,0.0015,0.4,0,0,0,0.25,793.02,812.98,19.97,1.72,746,1770.71
163,0.0003,0.1,80,4,0.7,0.0015,0.4,0,0,0,0.25,756.49,775.32,18.83,1.71,672,1774.62
164,0.000175,0.1,80,8,0.7,0.0015,0.4,0,0,0,0.25,846.60,866.75,20.15,2.14,804,2151.76
165,0.000225,0.1,80,8,0.7,0.0015,0.4,0,0,0,0.25,887.20,907.47,20.27,1.97,787,2101.38
