variant  place_thresh  pred_momentum_coef  curv_impulse_coef  premium_ema_coef  premium_tdc_s  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
317      0.00015       0.2                 3                  0.5               120            0.5                   1459.83  1483.15         23.32     0.86    283       2833.62
78       5e-05         0.5                 3                  0.2               120            0.1                   2469.27  2515.92         46.66     0.65    576       2833.94
327      5e-05         0.2                 5                  0.5               120            0.5                   2101.90  2145.33         43.43     0.85    540       2835.95
18       5e-05         0.5                 1                  0                 120            0.1                   2762.24  2815.40         53.16     0.68    644       2838.22
196      0.0001        0.2                 0                  0                 120            0.5                   2395.69  2443.88         48.19     0.61    597       2839.43
452      0.00015       0.5                 1                  0.2               120            1                     1492.57  1517.58         25.02     0.98    306       2844.44
238      0.0001        0.7                 5                  0                 120            0.5                   1701.92  1729.98         28.07     0.78    357       2844.89
362      0.00015       0                   3                  0.8               120            0.5                   1326.31  1351.40         25.09     0.95    308       2844.99
152      0.00015       0.5                 0                  0.8               120            0.1                   2147.47  2179.83         32.36     0.60    386       2846.44
356      0.00015       0.5                 1                  0.8               120            0.5                   1531.04  1555.22         24.19     1.02    293       2848.25
193      0.0001        0                   0                  0                 120            0.5                   2416.95  2469.40         52.44     0.64    645       2850.41
66       5e-05         0.5                 1                  0.2               120            0.1                   2710.46  2762.97         52.51     0.66    638       2858.33
177      5e-05         0.7                 3                  0.8               120            0.1                   2559.04  2603.63         44.59     0.71    551       2864.07
155      0.00015       0.7                 0                  0.8               120            0.1                   2120.02  2150.91         30.89     0.69    374       2865.31
129      5e-05         0.7                 3                  0.5               120            0.1                   2457.23  2501.31         44.08     0.65    547       2873.38
75       5e-05         0.2                 3                  0.2               120            0.1                   2520.39  2571.37         50.98     0.60    623       2887.43
62       0.00015       0                   1                  0.2               120            0.1                   1831.97  1865.64         33.67     0.56    412       2894.50
292      0.0001        0.2                 0                  0.5               120            0.5                   2510.25  2557.33         47.08     0.74    583       2900.33
469      0.0001        0                   5                  0.2               120            1                     1660.72  1692.79         32.08     0.97    406       2906.56
69       5e-05         0.7                 1                  0.2               120            0.1                   2656.82  2707.71         50.89     0.68    617       2910.75
52       0.0001        0.2                 0                  0.2               120            0.1                   1860.60  1908.00         47.41     0.67    569       2910.94
480      5e-05         0                   0                  0.5               120            1                     2465.92  2530.66         64.74     0.74    786       2938.44
33       5e-05         0.7                 3                  0                 120            0.1                   2618.05  2663.34         45.28     0.65    557       2943.46
296      0.00015       0.5                 0                  0.5               120            0.5                   1914.52  1945.20         30.68     0.85    372       2944.55
312      5e-05         0                   3                  0.5               120            0.5                   2162.64  2215.07         52.43     0.85    652       2947.31
351      5e-05         0.2                 1                  0.8               120            0.5                   2460.71  2515.18         54.47     0.80    669       2950.57
113      0.00015       0.2                 1                  0.5               120            0.1                   2046.53  2076.98         30.45     0.67    369       2953.50
