variant,place_thresh,cancel_buffer,front_rung_spacing_mult,max_pos,pred_momentum_coef,premium_ema_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
222,0.00025,0.1,0.25,100,0,0.8,0.1,240.46,247.09,6.62,0.41,418,22.20
223,0.0003,0.1,0.25,100,0,0.8,0.1,204.92,210.61,5.69,0.40,358,313.31
224,0.0005,0.1,0.25,100,0,0.8,0.1,37.26,40.71,3.45,0.08,201,-11.96
225,0.00025,0.1,1,100,0,0.8,0.1,120.39,125.49,5.09,0.31,316,-42.71
226,0.0003,0.1,1,100,0,0.8,0.1,87.43,91.74,4.31,0.21,264,42.39
227,0.0005,0.1,1,100,0,0.8,0.1,-57.70,-55.28,2.41,-0.13,132,-57.16
228,0.00025,0.1,0.25,140,0,0.8,0.1,80.93,87.68,6.75,0.12,422,48.34
229,0.0003,0.1,0.25,140,0,0.8,0.1,59.47,65.38,5.91,0.09,369,27.36
230,0.0005,0.1,0.25,140,0,0.8,0.1,-55.33,-52.00,3.34,-0.08,201,-49.23
231,0.00025,0.1,1,140,0,0.8,0.1,44.17,49.56,5.39,0.08,328,10.25
232,0.0003,0.1,1,140,0,0.8,0.1,-127.64,-123.25,4.39,-0.22,261,-155.03
233,0.0005,0.1,1,140,0,0.8,0.1,-202.38,-199.85,2.53,-0.32,138,-144.88
234,0.00025,0.1,0.25,80,0.2,0.8,0.1,376.18,382.17,5.99,0.85,365,554.44
235,0.0003,0.1,0.25,80,0.2,0.8,0.1,330.22,335.13,4.91,0.75,309,456.25
236,0.0005,0.1,0.25,80,0.2,0.8,0.1,126.27,129.45,3.18,0.38,182,77.64
237,0.00025,0.1,1,80,0.2,0.8,0.1,162.63,167.42,4.79,0.40,282,-3.03
238,0.0003,0.1,1,80,0.2,0.8,0.1,151.89,155.85,3.96,0.49,230,55.05
239,0.0005,0.1,1,80,0.2,0.8,0.1,-30.64,-28.44,2.20,-0.10,118,-73.23
240,0.00025,0.1,0.25,100,0.2,0.8,0.1,295.21,301.29,6.07,0.61,379,267.88
241,0.0003,0.1,0.25,100,0.2,0.8,0.1,216.01,221.33,5.31,0.46,327,151.86
242,0.0005,0.1,0.25,100,0.2,0.8,0.1,35.34,38.51,3.16,0.08,186,14.26
243,0.00025,0.1,1,100,0.2,0.8,0.1,161.12,166.04,4.92,0.39,297,110.72
244,0.0003,0.1,1,100,0.2,0.8,0.1,66.20,70.15,3.96,0.14,237,-56.64
245,0.0005,0.1,1,100,0.2,0.8,0.1,-108.82,-106.44,2.38,-0.24,128,-170.52
246,0.00025,0.1,0.25,140,0.2,0.8,0.1,131.23,137.44,6.20,0.17,382,59.62
247,0.0003,0.1,0.25,140,0.2,0.8,0.1,102.25,107.67,5.42,0.15,333,18.29
248,0.0005,0.1,0.25,140,0.2,0.8,0.1,-51.26,-48.12,3.14,-0.07,183,-39.55
249,0.00025,0.1,1,140,0.2,0.8,0.1,-15.85,-11.09,4.76,-0.03,290,-125.51
250,0.0003,0.1,1,140,0.2,0.8,0.1,-104.93,-100.95,3.99,-0.15,232,-68.79
251,0.0005,0.1,1,140,0.2,0.8,0.1,-182.65,-180.26,2.39,-0.26,126,-161.73
